Configuration,Accuracy,Macro-F1,Cohen-K
TumorDetNet (single-pass),0.9895027624309393,0.9893260183347532,0.9857834403330288
"TumorDetNet (TTA, N=10)",0.9878453038674033,0.9872699289160203,0.9835404078440579
ResNet50 (single-pass),0.9779005524861878,0.9762361975573549,0.9700787128225941
"ResNet50 (TTA, N=10)",0.9861878453038674,0.9852768506632434,0.981304827981694
MobileNetV2 (single-pass),0.9104972375690608,0.9087227318328132,0.8790105454180845
"MobileNetV2 (TTA, N=10)",0.967403314917127,0.9651825828184463,0.9558623255044999
InceptionV3 (single-pass),0.9668508287292817,0.9649638648874678,0.9551396680583284
"InceptionV3 (TTA, N=10)",0.9790055248618784,0.9775750461563245,0.9715781130809276
Ensemble of TTA — equal-weight,0.9867403314917127,0.9856272033939613,0.9820492455641718
Ensemble of TTA — accuracy-weighted,0.9867403314917127,0.9856272033939613,0.9820492455641718
